RecordNo,Author,Year,LatinName,CommonName,Class,StudyPop,GroupID_global,GroupID_fitness_component,Origin,Sex,Age,FitnessProxy,FitnessDetails,FitnessMeasured,Behaviour,BehavCoding,BehavDetails,LevelBehav,LevelFit,Level_GroupID,NInd,Nobs,Analysis,df,dfeff,r_direct,r_method,sign,SignReversed,r,Zr,F,U,chi2,t,z,p,r2,CohenD,estimate,L95CI,U95CI,se,sd,OR,HR,a,Source,SuppMat/Data,Checked,Conditions,Comments,
72,DiRienzo,2019,Latrodectus hesperus,western black widow,Arachnida,USA,E-71,E-71,w,f,a,repro,successful copulation when paired with male,art,foraging,continuous,number of predatory attacks toward simulated prey capture event,phenotypic,phenotypic,0,56,56,biserial correlation,,,1,direct,pos,1,0.0732,,,,,,,,,,,,,,,,,,raw data,1,1,,use raw data to partition variation and calculate r direct,
74,Duckworth,2006,Sialia mexicana,western bluebird,Aves,USA,E-73,E-73,f,m,a,repro,total offspring produced over three years,nat,aggression,continuous,nest defense when presented with heterospecific competitor,among,phenotypic,0,48,48,regression,47,,0,Eq 2,neg,1,-0.3944,,8.66,,,,,,,,,,,,,,,,in text,0,1,,,
74,Duckworth,2006,Sialia mexicana,western bluebird,Aves,USA,E-73,E-73,f,m,a,repro,total offspring produced over three years,nat,aggression,continuous,nest defense when presented with conspecific,phenotypic,phenotypic,0,14,13,regression,12,,0,direct,neg,1,-0.71,,11.36,,,,,<0.001,,,,,,,,,,,in text,0,1,,,
76,Edenbrow,2011,Kryptolebias marmoratus,mangrove killfish,Actinopterygii,USA,E-74,E-74,l,b,a,repro,number of eggs laid at age 151 days,art,exploration,continuous,activity in a novel environment,among,among,0,120,120,pearson correlation,18,,1,direct,pos,1,0.339,,,,,,,,,,,,,,,,,,table 6,0,1,,among-individual- repeated measures from 6 clones per genotype of 20 genotypes,
76,Edenbrow,2011,Kryptolebias marmoratus,mangrove killfish,Actinopterygii,USA,E-74,E-74,l,b,a,repro,number of eggs laid at age 151 days,art,boldness,continuous,activity following simulated predator attack,among,among,0,120,120,pearson correlation,18,,1,direct,pos,1,0.122,,,,,,,,,,,,,,,,,,table 6,0,1,,among-individual- repeated measures from 6 clones per genotype of 20 genotypes,
76,Edenbrow,2011,Kryptolebias marmoratus,mangrove killfish,Actinopterygii,USA,E-74,E-74,l,b,a,repro,age at first reproduction,art,exploration,continuous,activity in a novel environment,among,among,0,120,120,pearson correlation,18,,1,direct,neg,1,-0.441,,,,,,,,,,,,,,,,,,table 6,0,1,,among-individual- repeated measures from 6 clones per genotype of 20 genotypes; used exploration at 91 days because closer to repro maturity than at 151 days,
76,Edenbrow,2011,Kryptolebias marmoratus,mangrove killfish,Actinopterygii,USA,E-74,E-74,l,b,a,repro,age at first reproduction,art,boldness,continuous,activity following simulated predator attack,among,among,0,120,120,pearson correlation,18,,1,direct,neg,1,-0.07,,,,,,,,,,,,,,,,,,table 6,0,1,,among-individual- repeated measures from 6 clones per genotype of 20 genotypes; used boldness at 91 days because closer to repro maturity than at 151 days,
84,Foster,2017,Chlorostoma funebralis,black turban snail,Gastropoda,USA,E-76,E-76,w,u,a,survival,survival following 14 day mesocosm predation trial,art,boldness,continuous,height emerged from water in presence of a predator,among,phenotypic,0,700,700,biserial correlation,,,1,direct,pos,-1,0.1337,,,,9.62,,,,,,0.35,,,0.11,2.910326442,,,,raw data,1,1,,,
84,Foster,2017,Chlorostoma funebralis,black turban snail,Gastropoda,USA,E-76,E-76,w,u,a,survival,survival following 14 day mesocosm predation trial,art,boldness,continuous,time spent out of water in presence of a predator,among,phenotypic,0,703,703,biserial correlation,,,1,direct,pos,-1,0.1421,,,,,,,,,,,,,,,,,,raw data,1,1,,,
86,Fu,2017,Parabramis pekinensis,chinese bream,Actinopterygii,China,E-77,E-77,l,u,j,survival,order of being consumed by a predator,art,exploration,continuous,activitiy in a novel environment following 10min acclimation,phenotypic,phenotypic,0,40,40,regression,,,1,direct,pos,1,0.21,,,,,,,,,,,,,,,,,,table 2,0,1,,,
86,Fu,2017,Parabramis pekinensis,chinese bream,Actinopterygii,China,E-77,E-77,l,u,j,survival,order of being consumed by a predator,art,exploration,continuous,maximum emergence time minus latency to emerge,phenotypic,phenotypic,0,40,40,regression,,,1,direct,neg,1,-0.035,,,,,,,,,,,,,,,,,,table 2,0,1,,termed boldness in paper,
86,Fu,2017,Parabramis pekinensis,chinese bream,Actinopterygii,China,E-78,E-78,l,u,j,survival,order of being consumed by a predator,art,exploration,continuous,activitiy in a novel environment following 10min acclimation,phenotypic,phenotypic,0,40,40,regression,,,1,direct,pos,1,0.206,,,,,,,,,,,,,,,,,,table 2,0,1,,manipulation: reared in presence of predator cue,
86,Fu,2017,Parabramis pekinensis,chinese bream,Actinopterygii,China,E-78,E-78,l,u,j,survival,order of being consumed by a predator,art,exploration,continuous,maximum emergence time minus latency to emerge,phenotypic,phenotypic,0,40,40,regression,,,1,direct,neg,1,-0.057,,,,,,,,,,,,,,,,,,table 2,0,1,,manipulation: reared in presence of predator cue; termed boldness in paper,
87,Fuiman,2010,Pomacentrus wardi,ward's damsel,Actinopterygii,Australia,E-79,E-79,w,u,j,survival,probability of surviving when replaced on a reef,nat,boldness,continuous,propensity to emerge from shelter and capture prey once replaced on a new reef,phenotypic,phenotypic,0,109,109,"mean, sd",,,0,mean SD,pos,1,0.2574,,,,,,,,,,,,,,,,,,fig 1,0,1,,obtain sd from fig 1; not possible to extract data for escape responses (fig 2),
89,Gabriel,2012,Cyanocitta stelleri,stellar's jay,Aves,USA,E-80,E-80,f,f,a,repro,number of fledgings produced,nat,exploration,continuous,tendency to interact with a novel object at a feeder,among,phenotypic,0,21,21,regression,,,1,direct,neg,1,-0.74,,,,,,,,,,,,,,,,,,table 1,0,1,2006,2006; sign switched to reflect neophobia,
89,Gabriel,2012,Cyanocitta stelleri,stellar's jay,Aves,USA,E-80,E-80,f,f,a,repro,number of fledgings produced,nat,exploration,continuous,tendency to interact with a novel object at a feeder,among,phenotypic,0,24,24,regression,,,1,direct,pos,1,0.07,,,,,,,,,,,,,,,,,,table 1,0,1,2007,2007; sign switched to reflect neophobia,
89,Gabriel,2012,Cyanocitta stelleri,stellar's jay,Aves,USA,E-80,E-80,f,f,a,repro,number of fledgings produced,nat,exploration,continuous,tendency to interact with a novel object at a feeder,among,phenotypic,0,17,17,regression,,,1,direct,neg,1,-0.09,,,,,,,,,,,,,,,,,,table 1,0,1,2008,2008; sing switched to relfect neophobia,
89,Gabriel,2012,Cyanocitta stelleri,stellar's jay,Aves,USA,E-80,E-80,f,f,a,repro,number of fledgings produced,nat,activity,continuous,avg of 5 longest resighting distances from territoritory center in a year,among,phenotypic,0,9,9,regression,,,1,direct,pos,1,0.4,,,,,,,,,,,,,,,,,,table 1,0,1,2006,,
89,Gabriel,2012,Cyanocitta stelleri,stellar's jay,Aves,USA,E-80,E-80,f,f,a,repro,number of fledgings produced,nat,activity,continuous,avg of 5 longest resighting distances from territoritory center in a year,among,phenotypic,0,14,14,regression,,,1,direct,pos,1,0.34,,,,,,,,,,,,,,,,,,table 1,0,1,2007,,
89,Gabriel,2012,Cyanocitta stelleri,stellar's jay,Aves,USA,E-80,E-80,f,f,a,repro,number of fledgings produced,nat,activity,continuous,avg of 5 longest resighting distances from territoritory center in a year,among,phenotypic,0,12,12,regression,,,1,direct,neg,1,-0.15,,,,,,,,,,,,,,,,,,table 1,0,1,2008,,
89,Gabriel,2012,Cyanocitta stelleri,stellar's jay,Aves,USA,E-80,E-80,f,f,a,repro,number of fledgings produced,nat,boldness,categorical,yes/no alarm call response to mount of potential nest predator,phenotypic,phenotypic,0,9,9,regression,,,1,direct,pos,1,0.79,,,,,,,,,,,,,,,,,,table 1,0,1,2006,,
89,Gabriel,2012,Cyanocitta stelleri,stellar's jay,Aves,USA,E-80,E-80,f,f,a,repro,number of fledgings produced,nat,boldness,categorical,yes/no alarm call response to mount of potential nest predator,phenotypic,phenotypic,0,15,15,regression,,,1,direct,neg,1,-0.21,,,,,,,,,,,,,,,,,,table 1,0,1,2007,,
89,Gabriel,2012,Cyanocitta stelleri,stellar's jay,Aves,USA,E-80,E-80,f,f,a,repro,number of fledgings produced,nat,boldness,categorical,yes/no alarm call response to mount of potential nest predator,phenotypic,phenotypic,0,15,15,regression,,,1,direct,neg,1,-0.29,,,,,,,,,,,,,,,,,,table 1,0,1,2008,,
89,Gabriel,2012,Cyanocitta stelleri,stellar's jay,Aves,USA,E-80,E-80,f,f,a,repro,number of fledgings produced,nat,boldness,continuous,propensity to interact with a feeder at which they had been previously trapped,among,phenotypic,0,18,18,regression,,,1,direct,neg,1,-0.19,,,,,,,,,,,,,,,,,,table 1,0,1,2006,,
89,Gabriel,2012,Cyanocitta stelleri,stellar's jay,Aves,USA,E-80,E-80,f,f,a,repro,number of fledgings produced,nat,boldness,continuous,propensity to interact with a feeder at which they had been previously trapped,among,phenotypic,0,26,26,regression,,,1,direct,neg,1,-0.06,,,,,,,,,,,,,,,,,,table 1,0,1,2007,,
89,Gabriel,2012,Cyanocitta stelleri,stellar's jay,Aves,USA,E-80,E-80,f,f,a,repro,number of fledgings produced,nat,boldness,continuous,propensity to interact with a feeder at which they had been previously trapped,among,phenotypic,0,24,24,regression,,,1,direct,pos,1,0.13,,,,,,,,,,,,,,,,,,table 1,0,1,2008,,
89,Gabriel,2012,Cyanocitta stelleri,stellar's jay,Aves,USA,E-81,E-81,f,m,a,repro,number of fledgings produced,nat,exploration,continuous,tendency to interact with a novel object at a feeder,among,phenotypic,0,22,22,regression,,,1,direct,neg,1,-0.09,,,,,,,,,,,,,,,,,,table 1,0,1,2006,2006; sign switched to reflect neophobia,
89,Gabriel,2012,Cyanocitta stelleri,stellar's jay,Aves,USA,E-81,E-81,f,m,a,repro,number of fledgings produced,nat,exploration,continuous,tendency to interact with a novel object at a feeder,among,phenotypic,0,25,25,regression,,,1,direct,neg,1,-0.24,,,,,,,,,,,,,,,,,,table 1,0,1,2007,2007; sign switched to reflect neophobia,
89,Gabriel,2012,Cyanocitta stelleri,stellar's jay,Aves,USA,E-81,E-81,f,m,a,repro,number of fledgings produced,nat,exploration,continuous,tendency to interact with a novel object at a feeder,among,phenotypic,0,18,18,regression,,,1,direct,neg,1,-0.06,,,,,,,,,,,,,,,,,,table 1,0,1,2008,2008; sing switched to relfect neophobia,
89,Gabriel,2012,Cyanocitta stelleri,stellar's jay,Aves,USA,E-81,E-81,f,m,a,repro,number of fledgings produced,nat,activity,continuous,avg of 5 longest resighting distances from territoritory center in a year,among,phenotypic,0,10,10,regression,,,1,direct,pos,1,0.41,,,,,,,,,,,,,,,,,,table 1,0,1,2006,,
89,Gabriel,2012,Cyanocitta stelleri,stellar's jay,Aves,USA,E-81,E-81,f,m,a,repro,number of fledgings produced,nat,activity,continuous,avg of 5 longest resighting distances from territoritory center in a year,among,phenotypic,0,15,15,regression,,,1,direct,pos,1,0.19,,,,,,,,,,,,,,,,,,table 1,0,1,2007,,
89,Gabriel,2012,Cyanocitta stelleri,stellar's jay,Aves,USA,E-81,E-81,f,m,a,repro,number of fledgings produced,nat,activity,continuous,avg of 5 longest resighting distances from territoritory center in a year,among,phenotypic,0,12,12,regression,,,1,direct,neg,1,-0.06,,,,,,,,,,,,,,,,,,table 1,0,1,2008,,
89,Gabriel,2012,Cyanocitta stelleri,stellar's jay,Aves,USA,E-81,E-81,f,m,a,repro,number of fledgings produced,nat,boldness,categorical,yes/no alarm call response to mount of potential nest predator,phenotypic,phenotypic,0,9,9,regression,,,1,direct,neg,1,0,,,,,,,,,,,,,,,,,,table 1,0,1,2006,,
89,Gabriel,2012,Cyanocitta stelleri,stellar's jay,Aves,USA,E-81,E-81,f,m,a,repro,number of fledgings produced,nat,boldness,categorical,yes/no alarm call response to mount of potential nest predator,phenotypic,phenotypic,0,14,14,regression,,,1,direct,pos,1,0.03,,,,,,,,,,,,,,,,,,table 1,0,1,2007,,
89,Gabriel,2012,Cyanocitta stelleri,stellar's jay,Aves,USA,E-81,E-81,f,m,a,repro,number of fledgings produced,nat,boldness,categorical,yes/no alarm call response to mount of potential nest predator,phenotypic,phenotypic,0,14,14,regression,,,1,direct,pos,1,0.14,,,,,,,,,,,,,,,,,,table 1,0,1,2008,,
89,Gabriel,2012,Cyanocitta stelleri,stellar's jay,Aves,USA,E-81,E-81,f,m,a,repro,number of fledgings produced,nat,boldness,continuous,propensity to interact with a feeder at which they had been previously trapped,among,phenotypic,0,25,25,regression,,,1,direct,pos,1,0.22,,,,,,,,,,,,,,,,,,table 1,0,1,2006,,
89,Gabriel,2012,Cyanocitta stelleri,stellar's jay,Aves,USA,E-81,E-81,f,m,a,repro,number of fledgings produced,nat,boldness,continuous,propensity to interact with a feeder at which they had been previously trapped,among,phenotypic,0,31,31,regression,,,1,direct,pos,1,0.05,,,,,,,,,,,,,,,,,,table 1,0,1,2007,,
89,Gabriel,2012,Cyanocitta stelleri,stellar's jay,Aves,USA,E-81,E-81,f,m,a,repro,number of fledgings produced,nat,boldness,continuous,propensity to interact with a feeder at which they had been previously trapped,among,phenotypic,0,30,30,regression,,,1,direct,neg,1,-0.1,,,,,,,,,,,,,,,,,,table 1,0,1,2008,,
89,Gabriel,2012,Cyanocitta stelleri,stellar's jay,Aves,USA,E-80,E-80,f,f,a,repro,mean number of fledglings produced over at least 2 years,nat,exploration,continuous,tendency to interact with a novel object at a feeder,among,phenotypic,0,15,15,regression,,,1,direct,neg,1,-0.08,,,,,,,,,,,,,,,,,,table 1,0,1,,,
89,Gabriel,2012,Cyanocitta stelleri,stellar's jay,Aves,USA,E-80,E-80,f,f,a,repro,mean number of fledglings produced over at least 2 years,nat,activity,continuous,avg of 5 longest resighting distances from territoritory center in a year,among,phenotypic,0,8,8,regression,,,1,direct,neg,1,-0.39,,,,,,,,,,,,,,,,,,table 1,0,1,,,
89,Gabriel,2012,Cyanocitta stelleri,stellar's jay,Aves,USA,E-80,E-80,f,f,a,repro,mean number of fledglings produced over at least 2 years,nat,boldness,categorical,yes/no alarm call response to mount of potential nest predator,phenotypic,phenotypic,0,14,14,regression,,,1,direct,pos,1,0.12,,,,,,,,,,,,,,,,,,table 1,0,1,,,
89,Gabriel,2012,Cyanocitta stelleri,stellar's jay,Aves,USA,E-80,E-80,f,f,a,repro,mean number of fledglings produced over at least 2 years,nat,boldness,continuous,propensity to interact with a feeder at which they had been previously trapped,among,phenotypic,0,8,8,regression,,,1,direct,pos,1,0.31,,,,,,,,,,,,,,,,,,table 1,0,1,,,
89,Gabriel,2012,Cyanocitta stelleri,stellar's jay,Aves,USA,E-81,E-81,f,m,a,repro,mean number of fledglings produced over at least 2 years,nat,exploration,continuous,tendency to interact with a novel object at a feeder,among,phenotypic,0,16,16,regression,,,1,direct,neg,1,-0.5,,,,,,,,,,,,,,,,,,table 1,0,1,,,
89,Gabriel,2012,Cyanocitta stelleri,stellar's jay,Aves,USA,E-81,E-81,f,m,a,repro,mean number of fledglings produced over at least 2 years,nat,activity,continuous,avg of 5 longest resighting distances from territoritory center in a year,among,phenotypic,0,9,9,regression,,,1,direct,neg,1,-0.52,,,,,,,,,,,,,,,,,,table 1,0,1,,,
89,Gabriel,2012,Cyanocitta stelleri,stellar's jay,Aves,USA,E-81,E-81,f,m,a,repro,mean number of fledglings produced over at least 2 years,nat,boldness,categorical,yes/no alarm response to mount of potential nest predator,phenotypic,phenotypic,0,19,19,regression,,,1,direct,neg,1,-0.4,,,,,,,,,,,,,,,,,,table 1,0,1,,,
89,Gabriel,2012,Cyanocitta stelleri,stellar's jay,Aves,USA,E-81,E-81,f,m,a,repro,mean number of fledglings produced over at least 2 years,nat,boldness,continuous,propensity to interact with a feeder at which they had been previously trapped,among,phenotypic,0,8,8,regression,,,1,direct,neg,1,-0.79,,,,,,,,,,,,,,,,,,table 1,0,1,,,
91,Gavojdian,2015,Ovis aries,dorper sheep,Mammalia,Hungary,E-83,E-83,d,f,a,repro,litter size,art,stress,continuous,respose to handling in a constrained scale,phenotypic,phenotypic,1,72,72,regression,,,1,direct,neg,1,-0.06,,,,,,,,,,,,,,,,,,table 2,0,1,,,
91,Gavojdian,2015,Ovis aries,dorper sheep,Mammalia,Hungary,E-83,E-83,d,f,a,repro,litter size,art,stress,continuous,respose to handling in a constrained scale,among,among,1,72,72,regression,,,1,direct,neg,1,-0.08,,,,,,,,,,,,,,,,,,table 2,0,1,,,level=genetic changed to among
92,Germano,2017,Gopherus agassizii,desert toirtoise,Reptilia,USA,E-84,E-84,l,b,j,survival,survival to one year post-translocation,nat,exploration,continuous,time spent interacting with a novel object and activity in a novel environment,phenotypic,phenotypic,0,60,60,logistic regression,,,0,d to r,pos,1,0.2516,,,,,,,,,0.52,,,,,,,,,in text,1,1,,provide cohen's d in text,
93,Goulet,2016,Anelosimus studiosus,comb-footed spider,Arachnida,USA,E-85,E-85,w,f,a,survival,survival to 40 days after capture,art,social behaviour,categorical,propensity to build web near conspecific,phenotypic,phenotypic,0,199,199,2x2 contingency,1,,0,2x2 contingency,pos,1,0.3501,,,,,,,,,,,,,,,,,,table 2,1,1,,,
93,Goulet,2016,Anelosimus studiosus,comb-footed spider,Arachnida,USA,E-85,E-85,w,f,a,repro,production of egg case following mating,art,social behaviour,categorical,propensity to build web near conspecific,phenotypic,phenotypic,0,199,199,2x2 contingency,1,,0,2x2 contingency,pos,1,0.1642,,,,,,,,,,,,,,,,,,table 2,1,1,,,
95,Greenberg,2017,Crocuta crocuta,spotted hyena,Mammalia,Kenya,E-86,E-86,f,b,j,survival,surivival to sexual maturity (2yrs),nat,boldness,continuous,tendency to approach & enter a baited box to obtain a food reward,phenotypic,phenotypic,0,60,60,logistic regression,,,0,Eq 10,neg,1,-0.1339,,,,,,,,,0.270151159,0.49,,,na,,,,4.5,in text,0,1,,,
98,Grunst,2019,Parus major,great tit,Aves,Belgium,E-90,E-90,f,f,a,repro,number of nestlings surviving to fledging,nat,exploration,continuous,latency to return to nest in presence of novel object,phenotypic,phenotypic,0,74,74,GLM,,,0,d to r,neg,-1,-0.0776,,,,,,,,,0.155727969,0.142,,,0.106,0.911846478,,,,in text,1,1,,no repeated measures of repro,
98,Grunst,2019,Parus major,great tit,Aves,Belgium,E-90,E-90,f,f,a,repro,number of nestlings surviving to fledging,nat,parental care,continuous,latency to return to nest following flushing by human (high latency=low parental care),phenotypic,phenotypic,0,74,74,GLM,,,0,d to r,pos,-1,0.0194,,,,,,,,,-0.038749213,-0.001,,,0.003,0.025806976,,,,in text,1,1,,high parental care=low sensitivity,
99,Guenther,2018,Cavia aperea,wild cavy,Mammalia,Germany,E-91,E-91,l,f,a,repro,litter size,art,exploration,continuous,number of times novel object is contacted,among,among,1,92,178,MCMC glmm,,,1,direct,neg,1,-0.06,,,,,,,,,,,,,,,,,,raw data,1,1,,"I'm skeptical that this is the relationship between the mother's litter size and her behaviour, since behaviour was measured during early development",
99,Guenther,2018,Cavia aperea,wild cavy,Mammalia,Germany,E-91,E-91,l,f,a,repro,litter size,art,exploration,continuous,number of times novel object is contacted,within,within,1,92,178,MCMC glmm,,,1,direct,pos,1,0.04,,,,,,,,,,,,,,,,,,raw data,1,1,,,
99,Guenther,2018,Cavia aperea,wild cavy,Mammalia,Germany,E-91,E-91,l,f,a,repro,litter size,art,exploration,continuous,number of times novel object is contacted,phenotypic,phenotypic,1,92,178,poisson glmer,,,0,d to r,pos,1,0.0209,,,,,,,,,0.041825857,0.002986,,,0.005351,0.071391244,,,,raw data,1,1,,,
99,Guenther,2018,Cavia aperea,wild cavy,Mammalia,Germany,E-91,E-91,l,f,a,repro,litter size,art,stress,continuous,time taken to leave observer's hand,among,among,2,53,98,MCMC glmm,,,1,direct,pos,-1,0.11,,,,,,,,,,,,,,,,,,raw data,1,1,,high latency to leave hand= high docility,
99,Guenther,2018,Cavia aperea,wild cavy,Mammalia,Germany,E-91,E-91,l,f,a,repro,litter size,art,stress,continuous,time taken to leave observer's hand,within,within,2,53,98,MCMC glmm,,,1,direct,pos,-1,0.16,,,,,,,,,,,,,,,,,,raw data,1,1,,high latency to leave hand= high docility,
99,Guenther,2018,Cavia aperea,wild cavy,Mammalia,Germany,E-91,E-91,l,f,a,repro,litter size,art,stress,continuous,time taken to leave observer's hand,phenotypic,phenotypic,2,53,98,poisson glmer,,,0,d to r,pos,-1,0.0539,,,,,,,,,-0.108039768,-0.003922,,,0.003667,0.036301448,,,,raw data,1,1,,high latency to leave hand= high docility,
99,Guenther,2018,Cavia aperea,wild cavy,Mammalia,Germany,E-91,E-91,l,f,a,repro,litter size,art,stress,continuous,time aniaml spent struggling on its back in observer's hand,among,among,3,52,97,MCMC glmm,,,1,direct,neg,1,-0.51,,,,,,,,,,,,,,,,,,raw data,1,1,,low struggle is more docile,
99,Guenther,2018,Cavia aperea,wild cavy,Mammalia,Germany,E-91,E-91,l,f,a,repro,litter size,art,stress,continuous,time aniaml spent struggling on its back in observer's hand,within,within,3,52,97,MCMC glmm,,,1,direct,pos,1,0.04,,,,,,,,,,,,,,,,,,raw data,1,1,,low struggle is more docile,
99,Guenther,2018,Cavia aperea,wild cavy,Mammalia,Germany,E-91,E-91,l,f,a,repro,litter size,art,stress,continuous,time aniaml spent struggling on its back in observer's hand,phenotypic,phenotypic,3,52,97,poisson glmer,,,0,d to r,pos,1,0.003,,,,,,,,,0.006051407,0.0004934,,,0.0082786,0.081534754,,,,raw data,1,1,,low struggle is more docile,
99,Guenther,2018,Cavia aperea,wild cavy,Mammalia,Germany,E-91,E-91,l,f,a,repro,litter size,art,exploration,continuous,distance travelled in novel environment,among,among,4,73,124,MCMC glmm,,,1,direct,pos,1,0.65,,,,,,,,,,,,,,,,,,raw data,1,1,,,
99,Guenther,2018,Cavia aperea,wild cavy,Mammalia,Germany,E-91,E-91,l,f,a,repro,litter size,art,exploration,continuous,distance travelled in novel environment,within,within,4,73,124,MCMC glmm,,,1,direct,neg,1,-0.15,,,,,,,,,,,,,,,,,,raw data,1,1,,,
99,Guenther,2018,Cavia aperea,wild cavy,Mammalia,Germany,E-91,E-91,l,f,a,repro,litter size,art,exploration,continuous,distance travelled in novel environment,phenotypic,phenotypic,4,73,124,poisson glmer,,,0,d to r,neg,1,-0.0359,,,,,,,,,-0.071936408,-0.005951,,,0.007429,0.082725843,,,,raw data,1,1,,"did not extract number of OF trips, b/c of simmilarity with OF distance",
100,Haage,2017,Mustela lutreola,european mink,Mammalia,Estonia,E-92,E-92,l,b,j,survival,survival to 60 days post-translocation,nat,aggression,continuous,PCA score depicting tendency to bite novel object and attack mirror in home enclosure (latencies weighed negatively),phenotypic,phenotypic,0,25,25,GLM,,,0,d to r,pos,1,0.2256,,,,,,,,,0.463157895,0.44,,,0.19,0.95,,,,appendix 2,0,1,,"opposite of social behaviour, collected from same assay",
100,Haage,2017,Mustela lutreola,european mink,Mammalia,Estonia,E-92,E-92,l,b,j,survival,survival to 60 days post-translocation,nat,social behaviour,continuous,PCA score depicting tendency to sniff and mark mirror in a novel environment (latencies weighed negatively),phenotypic,phenotypic,0,25,25,GLM,,,0,d to r,neg,1,-0.1077,,,,,,,,,-0.216666667,-0.26,,,0.24,1.2,,,,appendix 2,0,1,,"opposite of aggressive behaviour, collected from same assay",
100,Haage,2017,Mustela lutreola,european mink,Mammalia,Estonia,E-92,E-92,l,b,j,survival,survival to 60 days post-translocation,nat,exploration,continuous,"PCA score depicting activity in a novel environment (latency to enter weighed negatively, activity postitively)",phenotypic,phenotypic,0,25,25,GLM,,,0,d to r,pos,1,0.1451,,,,,,,,,0.293333333,0.22,,,0.15,0.75,,,,appendix 2,0,1,,,
103,Han,2013,Tenagogerris euphrosyne,water strider,Insecta,Australia,E-93,E-93,w,m,a,repro,mating success when given the opportunity to copulate (yes/no),art,exploration,continuous,"tendency to disperse in a maze testing tank, representing dispersal tendencies",phenotypic,phenotypic,0,90,90,linear selection,,,0,d to r,neg,1,-0.0105,,,,,,,,,-0.021081851,-0.005,,,0.025,0.237170825,,,,table 1,0,1,,,
103,Han,2013,Tenagogerris euphrosyne,water strider,Insecta,Australia,E-93,E-93,w,m,a,repro,mating success when given the opportunity to copulate (yes/no),art,exploration,continuous,activity in a novel environment,phenotypic,phenotypic,0,90,90,linear selection,,,0,d to r,pos,1,0.0461,,,,,,,,,0.092233098,0.021,,,0.024,0.227683992,,,,table 1,0,1,,,
104,Han,2014,Tenagogerris euphrosyne,water strider,Insecta,Australia,E-94,E-94,l,m,a,repro,lifetime mating success as determined by the number of days a male is mounted on a female over his lifetime,art,exploration,continuous,activity in a novel environment,among,phenotypic,0,35,35,linear selection,,,0,d to r,neg,1,-0.0723,,,,,,,,,-0.144883587,-0.006,,,0.007,0.041412558,,,,table 5,1,1,,Also have estimates for plasticity of each behavioural trait: don't think I'll use it since I don’t have other examples to compare it to,no repeated repro measures in raw data
104,Han,2014,Tenagogerris euphrosyne,water strider,Insecta,Australia,E-94,E-94,l,m,a,repro,lifetime mating success as determined by the number of days a male is mounted on a female over his lifetime,art,exploration,continuous,"tendency to disperse in a maze testing tank, representing dispersal tendencies",among,phenotypic,0,35,35,linear selection,,,0,d to r,neg,1,-0.0338,,,,,,,,,-0.06761234,-0.02,,,0.05,0.295803989,,,,table 5,1,1,,,no repeated repro measures in raw data
105,Han,2016,Gerris gracilicornis,water strider,Insecta,South Korea,E-95,E-95,w,m,a,repro,mating success (yes/no) after 1 hr with a female,art,exploration,continuous,activity in a novel environment,phenotypic,phenotypic,0,48,48,linear selection,,,0,d to r,neg,1,-0.101,,,,,,,,,-0.100598911,-0.23,,,0.33,2.286307066,,,,table 4,0,1,,,
105,Han,2016,Gerris gracilicornis,water strider,Insecta,South Korea,E-95,E-95,w,m,a,repro,mating success (yes/no) after 1 hr with a female,art,courtship,continuous,courtship signal frequency (taps on water) in presence of female,phenotypic,phenotypic,0,45,45,linear selection,,,0,d to r,pos,1,0.154,,,,,,,,,0.311694324,0.69,,,0.33,2.213707298,,,,table 4,0,1,,,
105,Han,2016,Gerris gracilicornis,water strider,Insecta,South Korea,E-95,E-95,w,m,a,repro,mating success (yes/no) after 1 hr with a female,art,boldness,continuous,activity in the presence of a predator,phenotypic,phenotypic,0,45,45,linear selection,,,0,d to r,pos,1,0.1277,,,,,,,,,0.257486616,0.57,,,0.33,2.213707298,,,,table 4,0,1,,,
106,Han,2017,Gryllus bimaculatus,mediterranean field cricket,Insecta,Italy,E-96,E-96,l,b,a,survival,survivorship to 6 weeks,art,exploration,continuous,activity in a novel environment,among,phenotypic,0,1397,1397,linear selection,,,0,d to r,pos,1,0.0155,,,,,,,,,0.030979248,0.22,,,0.19,7.101528005,,,,table 3,0,1,,,
106,Han,2017,Gryllus bimaculatus,mediterranean field cricket,Insecta,Italy,E-96,E-96,l,b,a,survival,survivorship to 6 weeks,art,aggression,continuous,time spent chasing conspecific opponent,among,phenotypic,0,1397,1397,linear selection,,,0,d to r,pos,1,0.0508,,,,,,,,,0.101668261,0.76,,,0.2,7.475292636,,,,table 4,0,1,,,
107,Heynen,2017,Perca fluviatilis,eurasian perch,Actinopterygii,Germany,E-97,E-97,w,b,j,survival,survival in the presence of a predator over ~11 days,art,boldness,continuous,PCA of activity in the presence of a predator,among,phenotypic,0,80,80,logistic regression,,,0,Eq 10,neg,1,-0.5273,,,,,,,,,-1.241041344,-2.251,,,0.114,1.019646998,,,na,table 3,0,1,predator: perch,"can't determine number dead/surviving: could extract from fig 2, but many overlapping points",
